time,rate
1972-01-31,0.9944
1972-02-28,0.9988
1972-03-31,1.0023
1972-04-30,1.0077
1972-05-31,1.0192
1972-06-30,1.0146
1972-07-31,1.0169
1972-08-31,1.0171
1972-09-30,1.0168
1972-10-31,1.0171
1972-11-30,1.0055
1972-12-31,1.0044
1973-01-31,1.0005
1973-02-28,1.0058
1973-03-31,1.0009
1973-04-30,0.9968
1973-05-31,1.0024
1973-06-30,1.0015
1973-07-31,0.9985
1973-08-31,0.9944
1973-09-30,0.9942
1973-10-31,1.001
1973-11-30,0.9998
1973-12-31,1.002
1974-01-31,1.0119
1974-02-28,1.0277
1974-03-31,1.028
1974-04-30,1.0391
1974-05-31,1.0393
1974-06-30,1.0285
1974-07-31,1.0212
1974-08-31,1.0155
1974-09-30,1.0143
1974-10-31,1.0156
1974-11-30,1.0128
1974-12-31,1.0087
1975-01-31,1.0005
1975-02-28,1.0018
1975-03-31,0.9965
1975-04-30,0.981
1975-05-31,0.9777
1975-06-30,0.9703
1975-07-31,0.9692
1975-08-31,0.9686
1975-09-30,0.9754
1975-10-31,0.9828
1975-11-30,0.9893
1975-12-31,0.9835
1976-01-31,0.9989
1976-02-28,1.0154
1976-03-31,1.016
1976-04-30,1.0216
1976-05-31,1.0204
1976-06-30,1.0322
1976-07-31,1.0254
1976-08-31,1.0188
1976-09-30,1.0275
1976-10-31,1.0286
1976-11-30,0.9954
1976-12-31,0.9907
1977-01-31,0.9804
1977-02-28,0.9556
1977-03-31,0.946
1977-04-30,0.9546
1977-05-31,0.9512
1977-06-30,0.9435
1977-07-31,0.9355
1977-08-31,0.9304
1977-09-30,0.9314
1977-10-31,0.9023
1977-11-30,0.9027
1977-12-31,0.9136
1978-01-31,0.9027
1978-02-28,0.8969
1978-03-31,0.8832
1978-04-30,0.884
1978-05-31,0.8904
1978-06-30,0.8891
1978-07-31,0.8838
1978-08-31,0.8686
1978-09-30,0.8449
1978-10-31,0.8568
1978-11-30,0.8534
1978-12-31,0.8427
1979-01-31,0.8331
1979-02-28,0.8377
1979-03-31,0.8616
1979-04-30,0.8755
1979-05-31,0.8615
1979-06-30,0.8562
1979-07-31,0.8549
1979-08-31,0.8574
1979-09-30,0.8616
1979-10-31,0.8442
1979-11-30,0.8543
1979-12-31,0.8559
1980-01-31,0.8632
1980-02-28,0.8734
1980-03-31,0.8393
1980-04-30,0.8417
1980-05-31,0.863
1980-06-30,0.8687
1980-07-31,0.8607
1980-08-31,0.8639
1980-09-30,0.8543
1980-10-31,0.8508
1980-11-30,0.8404
1980-12-31,0.8372
1981-01-31,0.8373
1981-02-28,0.8324
1981-03-31,0.8422
1981-04-30,0.836
1981-05-31,0.8308
1981-06-30,0.8329
1981-07-31,0.8104
1981-08-31,0.8319
1981-09-30,0.8286
1981-10-31,0.8313
1981-11-30,0.8499
1981-12-31,0.843
1982-01-31,0.8356
1982-02-28,0.8137
1982-03-31,0.8127
1982-04-30,0.8199
1982-05-31,0.8039
1982-06-30,0.7735
1982-07-31,0.7964
1982-08-31,0.807
1982-09-30,0.8089
1982-10-31,0.8156
1982-11-30,0.8082
1982-12-31,0.8132
1983-01-31,0.8086
1983-02-28,0.8137
1983-03-31,0.8103
1983-04-30,0.8155
1983-05-31,0.813
1983-06-30,0.8146
1983-07-31,0.8104
1983-08-31,0.8104
1983-09-30,0.811
1983-10-31,0.8113
1983-11-30,0.807
1983-12-31,0.8035
1984-01-31,0.8004
1984-02-28,0.7988
1984-03-31,0.7833
1984-04-30,0.7785
1984-05-31,0.7724
1984-06-30,0.7576
1984-07-31,0.7625
1984-08-31,0.7708
1984-09-30,0.7586
1984-10-31,0.7605
1984-11-30,0.7552
1984-12-31,0.7566
1985-01-31,0.7535
1985-02-28,0.7228
1985-03-31,0.7313
1985-04-30,0.7315
1985-05-31,0.7275
1985-06-30,0.7357
1985-07-31,0.7386
1985-08-31,0.7321
1985-09-30,0.7294
1985-10-31,0.7316
1985-11-30,0.7225
1985-12-31,0.7151
1986-01-31,0.7026
1986-02-28,0.7027
1986-03-31,0.7158
1986-04-30,0.7273
1986-05-31,0.7243
1986-06-30,0.721
1986-07-31,0.7258
1986-08-31,0.7209
1986-09-30,0.72
1986-10-31,0.7194
1986-11-30,0.7228
1986-12-31,0.7239
1987-01-31,0.7471
1987-02-28,0.7496
1987-03-31,0.7653
1987-04-30,0.7448
1987-05-31,0.7468
1987-06-30,0.7514
1987-07-31,0.7531
1987-08-31,0.7576
1987-09-30,0.763
1987-10-31,0.7599
1987-11-30,0.7635
1987-12-31,0.7691
1988-01-31,0.7841
1988-02-28,0.7942
1988-03-31,0.81
1988-04-30,0.8135
1988-05-31,0.8107
1988-06-30,0.8237
1988-07-31,0.8261
1988-08-31,0.8065
1988-09-30,0.8219
1988-10-31,0.8173
1988-11-30,0.8422
1988-12-31,0.8384
1989-01-31,0.8442
1989-02-28,0.8334
1989-03-31,0.8382
1989-04-30,0.8431
1989-05-31,0.8281
1989-06-30,0.8354
1989-07-31,0.8467
1989-08-31,0.8496
1989-09-30,0.8488
1989-10-31,0.8517
1989-11-30,0.8591
1989-12-31,0.863
1990-01-31,0.8428
1990-02-28,0.8386
1990-03-31,0.8548
1990-04-30,0.8583
1990-05-31,0.853
1990-06-30,0.8598
1990-07-31,0.8681
1990-08-31,0.8635
1990-09-30,0.865
1990-10-31,0.8568
1990-11-30,0.8585
