year,month,cadusd
2019,7,0.758
2019,6,0.7637
2019,5,0.7398
2019,4,0.7468
2019,3,0.7491
2019,2,0.7589
2019,1,0.7619
2018,12,0.7332
2018,11,0.7523
2018,10,0.76
2018,9,0.7746
2018,8,0.7667
2018,7,0.7688
2018,6,0.7614
2018,5,0.7717
2018,4,0.7786
2018,3,0.7755
2018,2,0.7793
2018,1,0.8121
2017,12,0.7955
2017,11,0.7754
2017,10,0.7758
2017,9,0.8019
2017,8,0.8011
2017,7,0.8014
2017,6,0.7714
2017,5,0.7407
2017,4,0.7324
2017,3,0.7509
2017,2,0.7518
2017,1,0.7674
2016,12,0.7441
2016,11,0.7442
2016,10,0.7458
2016,9,0.7618
2016,8,0.763
2016,7,0.7667
2016,6,0.7737
2016,5,0.7638
2016,4,0.7965
2016,3,0.769
2016,2,0.7384
2016,1,0.7158
2015,12,0.7227
2015,11,0.7484
2015,10,0.7647
2015,9,0.7512
2015,8,0.761
2015,7,0.7641
2015,6,0.8003
2015,5,0.8031
2015,4,0.8283
2015,3,0.7884
2015,2,0.7996
2015,1,0.7854
2014,12,0.8605
2014,11,0.8759
2014,10,0.8875
2014,9,0.8932
2014,8,0.9192
2014,7,0.917
2014,6,0.9373
2014,5,0.9221
2014,4,0.9123
2014,3,0.905
2014,2,0.9039
2014,1,0.8986
2013,12,0.9414
2013,11,0.9421
2013,10,0.9587
2013,9,0.97
2013,8,0.949
2013,7,0.9731
2013,6,0.9506
2013,5,0.9637
2013,4,0.9927
2013,3,0.9829
2013,2,0.9703
2013,1,1.0028
2012,12,1.0079
2012,11,1.0057
2012,10,1.0006
2012,9,1.0165
2012,8,1.0139
2012,7,0.9969
2012,6,0.9837
2012,5,0.9682
2012,4,1.013
2012,3,1.0013
2012,2,1.0102
2012,1,0.9975
2011,12,0.9789
2011,11,0.9827
2011,10,0.9992
2011,9,0.9521
2011,8,1.0228
2011,7,1.0469
2011,6,1.038
2011,5,1.0324
2011,4,1.0581
2011,3,1.0303
2011,2,1.0293
2011,1,0.999
2010,12,1.002
2010,11,0.9743
2010,10,0.981
2010,9,0.9716
2010,8,0.9384
2010,7,0.9711
2010,6,0.9399
2010,5,0.9574
2010,4,0.9826
2010,3,0.9848
2010,2,0.9512
2010,1,0.9343
2009,12,0.9506
2009,11,0.9467
2009,10,0.9222
2009,9,0.9351
2009,8,0.9144
2009,7,0.9279
2009,6,0.8604
2009,5,0.9171
2009,4,0.8387
2009,3,0.7935
2009,2,0.784
2009,1,0.814
2008,12,0.8202
2008,11,0.8065
2008,10,0.8249
2008,9,0.9395
2008,8,0.94
2008,7,0.976
2008,6,0.9789
2008,5,1.0066
2008,4,0.9921
2008,3,0.9754
2008,2,1.0123
2008,1,0.9972
2007,12,1.0017
2007,11,1.0016
2007,10,1.0603
2007,9,1.0078
2007,8,0.9473
2007,7,0.9376
2007,6,0.9387
2007,5,0.9355
2007,4,0.9011
2007,3,0.8666
2007,2,0.8547
2007,1,0.8497
2006,12,0.8578
2006,11,0.877
2006,10,0.8911
2006,9,0.8945
2006,8,0.9061
2006,7,0.8839
2006,6,0.8959
2006,5,0.9078
2006,4,0.8955
2006,3,0.8557
2006,2,0.8795
2006,1,0.878
2005,12,0.8605
2005,11,0.8579
2005,10,0.8458
2005,9,0.8598
2005,8,0.8419
2005,7,0.8175
2005,6,0.8162
2005,5,0.7969
2005,4,0.7947
2005,3,0.8263
2005,2,0.8105
2005,1,0.8066
2004,12,0.832
2004,11,0.8422
2004,10,0.8212
2004,9,0.7929
2004,8,0.7618
2004,7,0.7513
2004,6,0.7503
2004,5,0.7341
2004,4,0.7288
2004,3,0.7637
2004,2,0.7495
2004,1,0.7546
2003,12,0.7704
2003,11,0.769
2003,10,0.7576
2003,9,0.7397
2003,8,0.7213
2003,7,0.7116
2003,6,0.7425
2003,5,0.7318
2003,4,0.6993
2003,3,0.6814
2003,2,0.6735
2003,1,0.6573
2002,12,0.6359
2002,11,0.6389
2002,10,0.6416
2002,9,0.6302
2002,8,0.6416
2002,7,0.6314
2002,6,0.6584
2002,5,0.6545
2002,4,0.6378
2002,3,0.627
2002,2,0.6243
2002,1,0.6295
2001,12,0.6276
2001,11,0.6357
2001,10,0.6295
2001,9,0.6332
2001,8,0.6448
2001,7,0.652
2001,6,0.6604
2001,5,0.6502
2001,4,0.6515
2001,3,0.6345
2001,2,0.6509
2001,1,0.6677
2000,12,0.6671
2000,11,0.6505
2000,10,0.6563
2000,9,0.6653
2000,8,0.6794
2000,7,0.6726
2000,6,0.6755
2000,5,0.6682
2000,4,0.6757
2000,3,0.6902
2000,2,0.6896
2000,1,0.6907
1999,12,0.6915
1999,11,0.6785
1999,10,0.68
1999,9,0.6811
1999,8,0.6699
1999,7,0.6637
1999,6,0.6839
1999,5,0.6786
1999,4,0.6866
1999,3,0.6638
1999,2,0.6625
1999,1,0.662
1998,12,0.6501
1998,11,0.6516
1998,10,0.6481
1998,9,0.6533
1998,8,0.6382
1998,7,0.6608
1998,6,0.6817
1998,5,0.6864
1998,4,0.6989
1998,3,0.7044
1998,2,0.7025
1998,1,0.6881
1997,12,0.6995
1997,11,0.7028
1997,10,0.7101
1997,9,0.7237
1997,8,0.7203
1997,7,0.7256
1997,6,0.724
1997,5,0.7262
1997,4,0.7154
1997,3,0.7225
1997,2,0.731
1997,1,0.7423
1996,12,0.7297
1996,11,0.7402
1996,10,0.747
1996,9,0.7345
1996,8,0.7309
1996,7,0.7272
1996,6,0.7334
1996,5,0.7306
1996,4,0.7345
1996,3,0.7356
1996,2,0.7303
1996,1,0.7277
1995,12,0.7329
1995,11,0.735
1995,10,0.7439
1995,9,0.745
1995,8,0.7443
1995,7,0.7309
1995,6,0.7284
1995,5,0.7293
1995,4,0.7361
1995,3,0.7148
1995,2,0.7185
1995,1,0.7102
1994,12,0.7132
1994,11,0.7262
1994,10,0.739
1994,9,0.7446
1994,8,0.731
1994,7,0.7211
1994,6,0.7224
1994,5,0.7225
1994,4,0.7231
1994,3,0.7225
1994,2,0.7395
1994,1,0.7513
1993,12,0.756
1993,11,0.7488
1993,10,0.7576
