modeSearch,slugSeason,typeSeason,yearSeason,typeMeasure,namePlayer,slugTeam,idPlayer,idTeam,gp,pctWins,fgm,fga,pctFG,fg3m,fg3a,pctFG3,pctFT,gpRank,pctWinsRank,minutesRank,fgmRank,fgaRank,pctFGRank,fg3mRank,fg3aRank,pctFG3Rank,pctFTRank,fg2m,fg2a,pctFG2,agePlayer,wins,losses,minutes,ftm,fta,oreb,dreb,treb,ast,tov,stl,blk,blka,pf,pfd,pts,plusminus,fptsNBAActual,dd2,td3,winsRank,lossesRank,rankFTM,rankFTA,orebRank,drebRank,trebRank,astRank,tovRank,stlRank,blkRank,blkaRank,pfRank,pfdRank,ptsRank,plusminusRank,fptsRank,dd2Rank,td3Rank
Totals,2019-20,Regular Season,2020,Base,Aaron Gordon,ORL,203932,1610612753,48,0.438,253,600,0.422,57,191,0.29842931937172773,0.663,132,273,52,74,66,310,130,103,305,358,196,409,0.4792176039119804,24,21,27,1537.19333333333,106,160,81,269,350,145,75,37,23,36,96,146,669,-131,1411.5,13,0,169,393,80,66,44,34,32,83,94,119,109,443,365,56,81,452,70,34,25
Totals,2019-20,Regular Season,2020,Base,Aaron Holiday,IND,1628988,1610612754,49,0.612,181,436,0.415,74,179,0.4134078212290503,0.87,112,154,160,144,123,327,94,120,53,62,107,257,0.4163424124513619,23,30,19,1116.83666666667,47,54,18,90,108,168,62,35,11,21,88,83,483,92,940.6,2,0,79,292,201,222,284,248,257,68,127,133,220,356,332,136,147,85,174,125,25
Totals,2019-20,Regular Season,2020,Base,Abdel Nader,OKC,1627846,1610612760,37,0.676,73,158,0.462,29,81,0.35802469135802467,0.821,270,105,295,291,301,178,229,239,182,145,44,77,0.5714285714285714,26,25,12,557.846666666667,32,39,10,43,53,24,29,13,12,4,45,31,207,-45,352.6,0,0,120,174,249,268,347,348,354,345,272,306,207,121,189,307,284,355,317,215,25
Totals,2019-20,Regular Season,2020,Base,Adam Mokoka,CHI,1629690,1610612741,6,0.167,6,15,0.4,3,7,0.42857142857142855,0,446,480,470,438,440,366,365,389,36,462,3,8,0.375,21,1,5,21.8333333333333,0,2,4,0,4,0,0,1,0,3,1,2,15,13,22.8,0,0,470,84,462,445,407,492,463,482,478,432,449,107,17,445,442,174,456,215,25
Totals,2019-20,Regular Season,2020,Base,Admiral Schofield,WAS,1629678,1610612764,26,0.308,30,75,0.4,14,47,0.2978723404255319,0.692,346,414,360,379,376,366,300,302,306,321,16,28,0.5714285714285714,22,8,18,291.951666666667,9,13,6,28,34,14,7,8,3,4,41,15,83,-32,170.8,0,0,369,271,374,374,383,378,385,373,399,353,369,121,176,369,372,331,387,215,25
Totals,2019-20,Regular Season,2020,Base,Al Horford,PHI,201143,1610612755,49,0.592,241,550,0.438,71,218,0.3256880733944954,0.722,112,177,58,85,79,256,100,88,262,297,170,332,0.5120481927710844,33,29,20,1515.17666666667,39,54,75,254,329,190,52,44,43,16,105,65,592,93,1480.8,4,0,91,308,229,222,53,41,40,57,162,89,38,309,395,201,101,84,61,85,25
Totals,2019-20,Regular Season,2020,Base,Al-Farouq Aminu,ORL,202329,1610612753,18,0.389,25,86,0.291,9,36,0.25,0.655,378,326,337,388,364,469,324,320,356,361,16,50,0.32,29,7,11,380.078333333333,19,29,24,63,87,21,17,18,8,4,27,29,78,-35,274.9,1,0,387,161,325,312,229,312,299,351,347,266,266,121,135,314,381,337,351,164,25
Totals,2019-20,Regular Season,2020,Base,Alec Burks,PHI,202692,1610612755,48,0.229,244,601,0.406,84,224,0.375,0.897,132,462,86,80,64,352,82,86,132,41,160,377,0.4244031830238727,28,11,37,1390.07333333333,201,224,37,189,226,151,76,50,17,33,107,172,773,-259,1395.7,1,0,319,493,21,34,154,97,109,77,92,65,151,436,407,41,64,494,71,164,25
Totals,2019-20,Regular Season,2020,Base,Alen Smailagic,GSW,1629346,1610612744,11,0.091,19,35,0.543,3,11,0.2727272727272727,0.813,417,492,414,398,408,71,365,373,336,159,16,24,0.6666666666666666,19,1,10,111.245,13,16,8,16,24,9,7,2,4,2,11,16,54,-10,107.3,0,0,470,148,352,360,367,408,402,403,399,416,340,86,90,366,398,271,407,215,25
Totals,2019-20,Regular Season,2020,Base,Alex Caruso,LAL,1627936,1610612747,49,0.776,90,217,0.415,33,92,0.358695652173913,0.794,112,40,219,264,258,331,212,227,181,190,57,125,0.456,25,38,11,886.028333333333,50,63,11,77,88,83,40,51,13,20,79,75,263,172,645.1,0,0,18,161,192,204,337,278,298,163,216,59,193,349,304,161,259,44,247,215,25
