location,type,overall
Donato's taco shop,California,3.8
Oscar's Mexican food,California,3
Oscar's Mexican food,Carnitas,3
Oscar's Mexican food,Carne asada,3.75
Pollos Maria,California,4.2
Pollos Maria,combo chicken,3.2
Nico's Taco Shop,California,2.6
Nico's Taco Shop,Carnitas,3
Los Primos Mexican Food,Monster California,3.9
JV's Mexican Food,Carne Asada,2
JV's Mexican Food,Surf & Turf,2.5
Tony's Fresh Mexican Food,Chile verde pork,3
Tony's Fresh Mexican Food,California,3.9
Tony's Fresh Mexican Food,battered fish,2
Tony's Fresh Mexican Food,California,2.75
Taco Stand,California,4.2
Taco Stand,Surf and turf,4.1
Graciela's Taco Shop,Adobada,4
Graciela's Taco Shop,Barbacoa,4
Rigoberto's Taco Shop La Jolla,California,3
Rigoberto's Taco Shop La Jolla,California,3.5
Lolita's taco shop,2 in 1,4
Lolita's taco shop,Adobado,3.5
Taco Stand,California,4.6
Taco Stand,California,4.5
Lola's 7 Up Market & Deli,Shredded beef,3.8
Lola's 7 Up Market & Deli,Carne asada,3
Colima's Mexican Food,Hawaiian,4
Colima's Mexican Food,Bandido,4
Colima's Mexican Food,Bandido,3
Rigoberto's Taco Shop,Carne asada,4.25
Rigoberto's Taco Shop,Campeon,3.4
Raul's Mexican food,Chile verde pork,2
Raul's Mexican food,carne asada,1
El Zarape,California,3.33333
El Zarape,California chicken,2.5
El Zarape,Azteca,3
El Zarape,Lobster,3.2
El Indio,California,4
Taco stand,Carne asada,4.2
Taco stand,Al pastor,3.5
"Qdoba Mexican Grill, Seatac Airport",Custom,3
Cancun Mexican & Seafood,California,4.2
Cancun Mexican & Seafood,Machaca,3.9
Vallarta express,Quesaburro,4.1
Vallarta express,Philly,3
Vallarta express,Carne asada,3.25
Vallarta express,Quesa,3.75
Vallarta express,Surf and turf,3.5
Vallarta express,Mahi,3.5
Mikes Taco Club,California,4.3
Mikes Taco Club,California,4.5
La Perla Cocina,Addiction,2.5
La Perla Cocina,Oaxacalifornia,4
Porkyland,Deborah's special,4
Porkyland,Chicken nopalito,3.3
Porkyland,Chicken nopalito,4
Porkyland,California,4
Rigoberto's Taco Shop,California,4.5
Rigoberto's Taco Shop,Adobada,4.5
Rigoberto's Taco Shop,California,3.6
Rigoberto's Taco Shop,Surf & Turf,3
Rudy's Taco Shop,Chicken,2.8
Rudy's Taco Shop,Carnitas,3
Taco stand,Carne asada,4.4
Taco stand,Carne asada,3.5
California Burritos,California Everything,4.1
California Burritos,California Everything,4
California Burritos,California Everything,4.6
California Burritos,Chile relleno and carnitas,4.7
California Burritos,California (only cheese),5
Vallarta express,Fish,3.5
Vallarta express,California,4
Jorge's Mexicatessen,California,3.8
Jorge's Mexicatessen,Chimichanga beef,3
Senor Grubby's,California,1.5
Senor Grubby's,Pastor,1.8
Taco stand,California,4.9
Mi Asador Mexican & Seafood,California,3
Mi Asador Mexican & Seafood,El Hawaiiano,3.5
Sotos Mexican Food,California,3.5
Sotos Mexican Food,Pastor,3.2
